Var1;Var2_1;Var2_2;Var2_3;Var2_4;Var2_5;Var2_6;Var2_7;Var2_8
60;248.354374989413;339.815627939441;284.366060565725;172.926957482164;83.1002561344378;16.5616517490164;2.83890048341389;42.5803477066524
61;237.816626423348;336.724792783126;292.596575120902;184.572324839238;91.9129674675517;18.9689861038675;3.32758071193567;42.7887806424551
62;201.789101202434;296.398041464863;268.003120115261;175.782796437584;90.9274900684251;19.4783888583915;4.10731466864173;38.458326708054
63;185.025233149491;279.984270512977;262.482197181628;178.437301867586;95.5873934214858;21.1919860298319;4.1608356296857;38.0527659222357
64;184.701742439251;285.264232450332;275.875124571072;193.490527918049;106.873203455686;24.4172748336184;3.9467142122609;40.9457933333093
65;188.032155998567;294.915065436065;293.441620894908;211.893192814179;120.439788322593;28.3029895094193;4.03690113573368;44.4917972096567
66;184.316555275236;293.820172639219;301.002763983352;224.065120871374;131.244479545335;31.7682055835906;4.67238446393112;46.4702266218484
67;179.678793254126;290.35277469262;305.884081787807;234.567260583425;141.513382730846;35.2655890685784;5.22814281972017;48.5300254347254
68;181.643540872003;295.782331573803;319.503425766704;251.771629789839;156.080648718556;39.9547630327598;5.4550477702781;52.608794218427
69;176.318978180057;289.344769053123;320.530475099675;259.780546169779;165.663161689397;43.6109492511364;6.22680469057706;54.6322863068102
70;170.165071742802;280.595674303284;318.36676774362;265.189997832137;173.870819096159;47.0490745754734;6.8183111787811;56.637531243073
71;164.208354419557;271.149615173737;314.635844038281;269.11630110762;181.28423306983;50.3934427489359;7.27480853419442;58.7598586059286
72;143.114221586735;236.754709884501;281.005214413395;247.061038891315;171.219680451013;48.9635116080573;8.24694978193962;55.0096258330958
73;121.032497972278;199.894002800772;242.345235386872;218.854935676781;155.963610735348;45.8648938799774;8.50244582325707;50.4777328843539
74;90.8108570623531;149.164750068518;184.446509266826;170.955679668916;125.212209349155;37.850302124331;8.62416884434091;41.0358180340912
75;58.6509537811318;93.8517459429798;117.507692642233;110.862660903789;82.7479156059945;25.4957567472519;7.48292868398475;28.3402138291502
76;41.6399440324442;65.5660427850143;83.3255601172279;80.4682960688881;61.5935588807434;19.4687036478752;6.15329065037175;22.4340612085578
77;28.8591675772354;44.3240258468558;57.0276648696932;56.2661900130021;44.0963412848803;14.277330109988;4.92489663973383;17.1605798361298
78;27.3450321337383;40.6371165382686;52.807019987317;53.1799353423169;42.6473094376345;14.1377159346418;3.16484121486908;18.2499445583136
79;24.3177486424346;34.8851776824141;45.676035803781;46.9288371116608;38.5129083281631;13.0750779550935;2.55676396229816;16.9301105049253
80;19.9709346181711;27.6711383412228;36.409856704264;38.1287963829969;32.0094086953851;11.1270838524453;2.28327058446258;14.2254015435839
81;16.9095768085857;22.6180276827013;29.8291838315952;31.7924900231991;27.2775071938736;9.70178061890701;1.93901834566517;12.365839481965
82;15.3742823687347;19.8184647487875;26.12888234459;28.2938577270136;24.7781757513195;9.00691234090495;1.58270121969537;11.5029571656375
83;13.0492988916913;16.2553707568097;21.3711531904309;23.4862486942376;20.9853894775563;7.79507457846821;1.41931709831754;9.83988629587515
84;11.5671201800826;13.9320346105087;18.2247238556658;20.293510686029;18.4807889464672;7.0088810939317;1.2069803737293;8.82190341870738
85;10.377072296138;12.1006850278205;15.7168078815274;17.7057199595009;16.4184586812978;6.35309994848283;1.03738427661284;7.96091195300426
